order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
000836.XSHE,2016-01-04,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-05,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-06,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-07,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-08,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-11,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-12,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-13,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-14,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-15,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-18,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-19,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-20,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-21,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-22,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-25,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-26,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-27,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-28,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-01-29,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-01,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-02,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-03,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-04,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-05,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-15,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-16,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-17,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-18,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-19,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-22,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-23,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-24,0.0,0.0,67.5286,67.5286,0.0,0.0,67.5286,67.5286,0.0,0.0
000836.XSHE,2016-02-25,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-02-26,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-02-29,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-01,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-02,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-03,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-04,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-07,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-08,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-09,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-10,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-11,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-14,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-15,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-16,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-17,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-18,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-21,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-22,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-23,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-24,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-25,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-28,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-29,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-30,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-03-31,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-01,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-05,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-06,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-07,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-08,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-11,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-12,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-13,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-14,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-15,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-18,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-19,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-20,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-21,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-22,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-25,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-26,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-27,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-28,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-04-29,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-03,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-04,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-05,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-06,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-09,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-10,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-11,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-12,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-13,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-16,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-17,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-18,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-19,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-20,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-23,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-24,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-25,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-26,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-27,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-30,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-05-31,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-01,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-02,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-03,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-06,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-07,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-08,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-13,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-14,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-15,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-16,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-17,0.0,0.0,67.5288,67.5288,0.0,0.0,67.5288,67.5288,0.0,0.0
000836.XSHE,2016-06-20,74.3136,10721.0,60.802,61.4162,9491451.4733,60.802,60.802,60.802,485268411.58,5.9209
